Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
115719,1 BHK Ready to Occupy Flat for sale Rohini Sector 34,"This magnificent 1 BHK Flat is available for sale in Rohini Sector 34, New Delhi. This flat for resale has a desirable location. This ready to move flat in Rohini Sector 34 comes at an affordable price of INR 19 Lac. The flat is available in unfurnished condition.",Call for Price,,new-delhi,,Ready to Move,4 out of 5,Resale,Unfurnished,,,,1,,,,34 sqm,,
136692,3 BHK Ready to Occupy Flat for sale in CGHS Apoorva Apartments Dwarka Sector 5,"This magnificent 3 BHK Flat is available for sale in Dwarka Sector 5, New Delhi. This flat is situated within the renown township of Cghs Apoorva Apartments. This flat for resale has a desirable location. This ready to move flat in Dwarka Sector 5 comes at an affordable price of INR 1.75 Cr. This contemporary apartment is unfurnished. near to school, metro, market and hospital are some of the key nearby landmarks.",1.75 Cr ,9722.0,new-delhi,1570 sqft,Ready to Move,7 out of 8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",CGHS Apoorva Apartments,3,2,"1 Covered,",Freehold,,,
173578,3 BHK Ready to Occupy Flat for sale Sector-20,"This beautiful 3 BHK Flat is available for sale in Sector 20, Panchkula. This flat for sale is a choice property. The ready to move flat in the prime area of Sector 20 is available at a reasonable price of INR 42 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. d-mart, sushma open mall, gbp commercial, tricity plaza commercial, trishla little india commercial, panchkula shopping complex wid running food court and many other upcoming commercials. are some of the key nearby landmarks.",42 Lac ,3111.0,panchkula,1150 sqft,Ready to Move,2 out of 3,New Property,Unfurnished,North - East,Main Road,,3,2,,Freehold,,,
127582,3 BHK Ready to Occupy Flat for sale in Kesarwani Apartment Dwarka Sector 5,"This ready to move-in 3 BHK flat is available for sale at the premium Dwarka Sector 5 in New Delhi. Well-tucked in the Kesarwani Apartment township, the property is easily accessible. This flat for resale is a choice property. In Dwarka Sector 5, this ready to move flat is available at an attractive price of INR 2.20 Cr. The flat is sold in semi-furnished condition. near by venkateshwar hospitalnear by sector 12 metro station are some major landmarks near the apartment.",2.20 Cr ,12222.0,new-delhi,1600 sqft,Ready to Move,6 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Kesarwani Apartment,3,3,"1 Covered,",Freehold,,,
146642,3 BHK Ready to Occupy Flat for sale in Anamitra CHS Ltd Brahmand,"This beautiful 3 BHK Flat is available for sale in Brahmand, Thane. Situated in the Anamitra Chs Ltd township, it has a prime location. This flat for resale has a desirable location. This ready to move property in Brahmand is readily available within an affordable cost of INR 1.10 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. Some nearby landmarks are reputed schools ,banks, and atms are available nearby vicinity.",1.10 Cr ,11458.0,thane,960 sqft,Ready to Move,1 out of 17,Resale,Unfurnished,East,Main Road,Anamitra CHS Ltd,3,2,1 Covered,Freehold,,,
154961,3 BHK Ready to Occupy Flat for sale Surya Nagar Phase 2,"This exquisite 3 BHK Flat is offered for sale in Surya Nagar Phase 2, Faridabad. This flat for resale is just the type of property you have been searching for! This ready to move flat in Surya Nagar Phase 2 can be taken at a very economical pricing of INR 45 Lac. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities.",45 Lac ,,faridabad,1604 sqft,Ready to Move,1 out of 3,Resale,Furnished,,Main Road,,2,2,,Freehold,,,
153402,4 BHK Ready to Occupy Flat for sale Sehestradhara Heights Dehradun,"Sehestradhara Heights, Dehradun has an attractive 4 BHK Flat for sale. This apartment is a property of choice for resale. This ready to move flat in Sehestradhara Heights comes at an affordable price of INR 1.10 Cr. The flat is sold in semi-furnished condition.",1.10 Cr ,5500.0,dehradun,,Ready to Move,1 out of 6,Resale,Semi-Furnished,,,,4,,,,2000 sqft,,
34784,2 BHK Ready to Occupy Flat for sale in Suvrith Sadan Kengeri,"This magnificent 2 BHK Flat is available for sale in Kengeri, Bangalore. Strategically situated in the Suvrith Sadan site, it is placed at a prime location. This flat for sale is a choice property. This apartment ready to move in the Kengeri is available for an attractive price of INR 58 Lac. The flat is sold in unfurnished condition.",58 Lac ,5472.0,bangalore,,Ready to Move,2 out of 4,New Property,Unfurnished,,,,2,,,,1060 sqft,,
105997,"2 BHK Ready to Occupy Flat for sale in Siddha Town Chinar Park, Rajarhat","Multistorey apartment is available for sale. It has covered area of 850 sq-ft, it is a good location property. Please contact for more details.",34 Lac ,4000.0,kolkata,780 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,,,Siddha Town,2,2,,,,,
166392,2 BHK Ready to Occupy Flat for sale Bargi Hills,"Bargi Hills, Jabalpur has an attractive 2 BHK Flat for sale. This flat for resale has a desirable location. You can buy this ready to move flat in Bargi Hills at a reasonable price of INR 35 Lac. This contemporary apartment is furnished.",35 Lac ,3125.0,jabalpur,,Ready to Move,5 out of 6,Resale,Furnished,,,,2,,,,1120 sqft,,
39432,5 BHK Ready to Occupy Flat for sale T Nagar,"This attractive 5 BHK apartment can be found for sale in T Nagar, Chennai. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in T Nagar is all ready for sale at a low-priced budget of INR 15.60 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. t nagar gn chetty road are some major landmarks near the apartment.",15.60 Cr ,26990.0,chennai,5700 sqft,Ready to Move,Ground out of 3,Resale,Unfurnished,East,"Garden/Park, Main Road",,3,1,,Freehold,,,
6929,2 BHK Ready to Occupy Flat for sale Nava Vadaj,"Creatively planned and constructed is a 2 BHK flat for sale in Nava Vadaj, Ahmedabad. This flat is available as a resale property. This ready to move flat in Nava Vadaj comes at an affordable price of INR 61 Lac. The flat is semi-furnished and makes for an ideal choice for any family.",61 Lac ,5648.0,ahmedabad,,Ready to Move,1 out of 4,Resale,Semi-Furnished,,,,2,2,,,1080 sqft,,
181831,3 BHK Ready to Occupy Flat for sale in Goverdhan Residency Vasna Bhayli Main Road,"This exquisite 3 BHK Flat is offered for sale in Vasna Bhayli Main Road, Vadodara. Situated in the excellent Goverdhan Residency township. The flat enjoys a prime location. This is one of the best properties available for resale. Located in Vasna Bhayli Main Road, this ready to move apartment is sold at a fair selling price of INR 82 Lac. The flat is furnished and makes for an ideal choice for any family. The property is strategically placed near prominent places as this property nearby school, hospital, market etc. which make for the smooth living of residents.",82 Lac ,4000.0,vadodara,1300 sqft,Ready to Move,2 out of 5,Resale,Furnished,West,"Garden/Park, Main Road",Goverdhan Residency,3,2,"1 Covered,",Freehold,,,
155854,2 BHK Ready to Occupy Flat for sale in Omaxe Heights Sector 86,"Up for immediate sale is a 2 BHK apartment in Sector 86, Faridabad. Don't miss this bargain flat for sale. The property is ideally located in a strategic location in Omaxe Heights township. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Sector 86 comes at an affordable price of INR 57 Lac. It is semi-furnished to accommodate your needs.",57 Lac ,4738.0,faridabad,1203 sqft,Ready to Move,3 out of 9,Resale,Semi-Furnished,North - East,Garden/Park,Omaxe Heights,2,2,,Freehold,,,
126484,1 BHK Ready to Occupy Flat for sale Uttam Nagar West,"One can find this stunning 1 BHK flat for sale in Uttam Nagar West, New Delhi. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Uttam Nagar West can be taken at a very economical pricing of INR 18 Lac. The flat is available in furnished condition.",18 Lac ,18000.0,new-delhi,50 sqft,Ready to Move,1 out of 6,Resale,Furnished,,,,1,1,,,,,
134995,4 BHK Ready to Occupy Flat for sale in Hamdam Apartment Dwarka Sector 18,"Up for immediate sale is a 4 BHK apartment in Dwarka Sector 18, New Delhi. Don't miss this bargain flat for sale. This flat is situated within the renown township of Hamdam Apartment. This flat for resale is a choice property. This ready to move flat in Dwarka Sector 18 can be taken at a very economical pricing of INR 2.68 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The flat is in close proximity to prominent landmarks like venkateshwar hospital.",2.68 Cr ,11167.0,new-delhi,2100 sqft,Ready to Move,8 out of 10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Hamdam Apartment,3,4,"1 Covered,",Freehold,,,
29478,2 BHK Ready to Occupy Flat for sale in Santhosh Paradise Sahakar Nagar,"This exquisite 2 BHK Flat is offered for sale in Sahakara Nagar, Bangalore. This flat is situated within the renown township of Santhosh Paradise. This flat for resale is a choice property. This ready to move flat in Sahakara Nagar comes at an affordable price of INR 85 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",85 Lac ,7456.0,bangalore,,Ready to Move,3 out of 4,Resale,Semi-Furnished,,,,2,,,,1140 sqft,,
109249,2 BHK Ready to Occupy Flat for sale in One Rajarhat New Town,"The mentioned Price indicates only the Base Price. This excludes the cost for Parking, Extra Charges and Deposits, GST, Registration and Stamp Duty::::::::One Rajarhat::::New Tow, Action Area1::::G22 & G23, 3 Towers, 328 Flats, State Of The Art Multi Gym, Banquet Hall Cum Badminton Court, Infinity Pool, Synthetic Grass Tennis Court, Table Tennis Room, Massage Spa Room,::::::::Premium Flats Available, At Best Locations, With Best Architecture & Amenities::::::::The Property Price and Availability is subject to change without any prior notice at the discretion of the Seller",1.20 Cr ,9646.0,kolkata,740 sqft,Ready to Move,,New Property,Unfurnished,,Main Road,One Rajarhat,2,,1 Covered,Freehold,,,
75627,"3 BHK Ready to Occupy Flat for sale in Incor Bonsai Homes Tellapur, Outer Ring Road","This lovely 3 BHK Flat in Tellapur, Hyderabad is up for sale. It is housed in the well-planned Incor Bonsai Homes township in an advantageous location. This apartment for resale is a great choice. This ready to move flat in Tellapur comes at an affordable price of INR 1.14 Cr. The flat is semi-furnished and is suitable for any family size.",1.14 Cr ,6029.0,hyderabad,,Ready to Move,4 out of 5,Resale,Semi-Furnished,,,,3,,,,1891 sqft,,
138945,2 BHK Ready to Occupy Flat for sale Laxmi Nagar,"This lovely 2 BHK Flat in Laxmi Nagar, New Delhi is up for sale. This flat all equipped with required facilities, is up for resale. This ready to move flat located in Laxmi Nagar is available for purchase at a fair price of INR 30 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Prominent landmarks in and around this locality are delhi convert school.",30 Lac ,6000.0,new-delhi,400 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",,1,1,1 Open,Freehold,,,
59852,3 BHK Ready to Occupy Flat for sale in Ireo Victory Valley Sector 67,"This attractive 3 BHK apartment can be found for sale in Sector 67, Gurgaon. It is based at Ireo Victory Valley complex, that occupies a prominent place in the locality. This is a desirable apartment for resale. The ready to move flat in Sector 67 is all ready for sale at a low-priced budget of INR 2.35 Cr. You will find it semi-furnished. water sportsrainwater harvesting, children play area, community hall are some of the well-known landmarks in this locality.",2.35 Cr ,9631.0,gurgaon,,Ready to Move,15 out of 51,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Ireo Victory Valley,4,3,2 Covered,Freehold,2440 sqft,,
13471,3 BHK Ready to Occupy Flat for sale Jagatpur,"This magnificent 3 BHK Flat is available for sale in Jagatpur, Ahmedabad. This is a desirable apartment for resale. This apartment ready to move in the Jagatpur is available for an attractive price of INR 93 Lac. The flat is available in unfurnished condition.",93 Lac ,4740.0,ahmedabad,,Ready to Move,6 out of 10,Resale,Unfurnished,,,,3,,,,218 sqyrd,,
52037,4 BHK Ready to Occupy Flat for sale Sushant Lok 2,"This magnificent 4 BHK Flat is available for sale in Sushant Lok 2, Gurgaon. This is one of the best properties available for resale. This ready to move flat in Sushant Lok 2 can be availed at a reasonable price of INR 2.85 Cr. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. golf course extension road are some of the key nearby landmarks.",2.85 Cr ,10556.0,gurgaon,2350 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,South - East,"Garden/Park, Main Road",,4,2,"2 Covered,",Freehold,,,
25509,2 BHK Ready to Occupy Flat for sale in Pragathi Amber Ananth Nagar,"This attractive 2 BHK apartment can be found for sale in Ananth Nagar, Bangalore. Enjoying a prime location, this property is housed in the Pragathi Amber society. Invest your valuable money in this flat that is for resale. Located in Ananth Nagar, this ready to move apartment is sold at a fair selling price of INR 64 Lac. The possession date - when flat is given to the buyer - for this property is Jun '23. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",64 Lac ,5246.0,bangalore,805 sqft,Ready to Move,9 out of 15,Resale,Unfurnished,North,Garden/Park,,2,1,1 Covered,Freehold,,,
172860,1 BHK Ready to Occupy Flat for sale Asha Nagar,"Have a look at this immaculate 1 BHK flat for sale in Asha Nagar, Navsari. This flat for resale is the perfect property for you! The ready to move flat in Asha Nagar is all ready for sale at a low-priced budget of INR 12 Lac. The flat is unfurnished and makes for an ideal choice for any family.",12 Lac ,1714.0,navsari,,Ready to Move,2 out of 4,Resale,Unfurnished,,,,1,,,,700 sqft,,
128505,2 BHK Ready to Occupy Flat for sale Laxmi Nagar,"This lovely 2 BHK Flat in Laxmi Nagar, New Delhi is up for sale. This flat all equipped with required facilities, is up for resale. This ready to move flat located in Laxmi Nagar is available for purchase at a fair price of INR 30 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Prominent landmarks in and around this locality are delhi convert school.",30 Lac ,6000.0,new-delhi,400 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",,1,1,1 Open,Freehold,,,
17227,3 BHK Ready to Occupy Flat for sale Jayanagar,"Jayanagar, Bangalore has an appealing 3 BHK flat for sale with various amenities. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 1.70 Cr. This contemporary apartment is semi-furnished. The flat is easily approachable because it is near to raagi gudda, metro station, woodys.",1.70 Cr ,10000.0,bangalore,1500 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",,3,3,1 Covered,Freehold,,,
98116,3 BHK Ready to Occupy Flat for sale in Diamond City South Tollygunge,3 bedroom flat available for sale in Diamond City South. The flat is well maintained and has sufficient sunlight and air,1.10 Cr ,7666.0,kolkata,,Ready to Move,12 out of 20,Resale,Semi-Furnished,East,Main Road,Diamond City South,2,2,1 Open,Freehold,1435 sqft,,
40306,3 BHK Ready to Occupy Flat for sale in Provident Cosmo City Siruseri,"Carefully laid out in the prime location of Siruseri in Chennai, this spacious 3 BHK flat on sale is a meticulously planned project. This flat is situated within the renown township of Provident Cosmo City. This flat for resale is a choice property. This ready to move flat located in Siruseri is available for purchase at a fair price of INR 50 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities.",50 Lac ,4132.0,chennai,,Ready to Move,3 out of 3,Resale,Semi-Furnished,,,,2,,,,1210 sqft,,
52859,3 BHK Ready to Occupy Flat for sale in Sobha City Sector 108,"Sector 108, Gurgaon has an attractive 3 BHK Flat for sale. The property is ideally located in a strategic location in Sobha City township. This flat is available as a sale property. This apartment ready to move in the Sector 108 is available for an attractive price of INR 2.50 Cr. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",2.50 Cr ,12500.0,gurgaon,,Ready to Move,,New Property,Semi-Furnished,,,Sobha City,3,,,,2003 sqft,,
143713,3 BHK Ready to Occupy Flat for sale in Shri Radha Sky Gardens Noida Extension,"This exquisite 3 BHK Flat is offered for sale in Noida Extension, Noida. Enjoying a prime location, this property is housed in the Shri Radha Sky Gardens society. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 90 Lac. The flat is sold in semi-furnished condition. The prime landmarks near this property are 1 mourati chowk.",90 Lac ,4639.0,noida,1550 sqft,Ready to Move,5 out of 19,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",,3,5,,Leasehold,,,
66736,"3 BHK Ready to Occupy Flat for sale in Malibu Town Malibu Town, Sector 47","Creatively planned and constructed is a 3 BHK flat for sale in Malibu Town, Gurgaon. Ideally situated in the Malibu Town township it enjoys a prime location. This flat is available as a sale property. You can buy this ready to move flat in Malibu Town at a reasonable price of INR 1.75 Cr. The spacious apartment is semi-furnished. The prime landmarks near this property are opp. jmd megapolis.",1.75 Cr ,12963.0,gurgaon,1296 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Malibu Town,3,2,2 Covered,Freehold,,,
185888,3 BHK Ready to Occupy Flat for sale East Point Colony,"East Point Colony, Visakhapatnam has an attractive 3 BHK Flat for sale. This flat for resale is just the type of property you have been searching for! This ready to move flat in East Point Colony is available for a reasonable price of INR 1.10 Cr. The flat is unfurnished and makes for an ideal choice for any family. andhra cricket academy vuda park road near rtc bus depot are some major landmarks near the apartment.",1.10 Cr ,6471.0,visakhapatnam,1275 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,West,Main Road,,3,5,1 Covered,Freehold,,,
22200,3 BHK Ready to Occupy Flat for sale in Sriven Rag Metropole J P Nagar,"JP Nagar, Bangalore has an attractive 3 BHK Flat for sale. Strategically situated in the Sriven Rag Metropole site, it is placed at a prime location. This apartment is a property of choice for resale. This ready to move flat is offered at an economical price of INR 63 Lac. You will find it semi-furnished. Landmarks near the apartment include national public school.",63 Lac ,3877.0,bangalore,1435 sqft,Ready to Move,3 out of 6,Resale,Semi-Furnished,East,,,3,3,"1 Covered,",Freehold,,,
66621, Studio Apartment for sale Gurgaon,This flat is an attractive property for sale. This ready to move flat in comes at an affordable price of INR 45 Lac. It is a semi-furnished apartment.,Call for Price,,gurgaon,700 sqft,Ready to Move,2 out of 23,New Property,Semi-Furnished,,,,2,1,,,,,
53639,3 BHK Ready to Occupy Flat for sale in Signature Global Park 4 and 5 Sohna Sector 36,"This attractive 3 BHK apartment can be found for sale in Sohna Sector 36, Gurgaon. It enjoys an excellent location within the Signature Global Park 4 And 5. This flat is an attractive property for resale. The ready to move flat in the prime area of Sohna Sector 36 is available at a reasonable price of INR 85 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience.",85 Lac ,7863.0,gurgaon,,Ready to Move,1 out of 4,Resale,Unfurnished,West,"Garden/Park, Pool, Main Road",Signature Global Park 4 and 5,2,3,1 Covered,Freehold,1081 sqft,,
94107,2 BHK Ready to Occupy Flat for sale in DLF New Town Heights Rajarhat,"2 BHK, Multistorey Apartment is available for Sale in Rajarhat, Kolkata for 72.0 Lac(s)",72 Lac ,5728.0,kolkata,900 sqft,Ready to Move,2 out of 18,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",DLF New Town Heights,2,2,,,,,
156319,"4 BHK Ready to Occupy Flat for sale Sector 21A, Mathura Road","Sector 21A, Faridabad has an attractive 4 BHK Flat for sale. This flat for resale is a choice property. You can buy this ready to move flat in Sector 21A at a reasonable price of INR 1.75 Cr.",1.75 Cr ,5147.0,faridabad,,Ready to Move,2 out of 4,Resale,,,,,3,,,,3400 sqft,,
173568,3 BHK Ready to Occupy Flat for sale in DLF The Valley Garden Sector 3,"This attractive 3 BHK apartment can be found for sale in Sector 3, Panchkula. The property is ideally located in a strategic location in Dlf The Valley Garden township. This apartment is a property of choice for resale. In Sector 3, this ready to move flat is available at an attractive price of INR 1.40 Cr. The flat is semi-furnished and is suitable for any family size. near to dlf mall and school are a few nearby landmarks.",1.40 Cr ,7865.0,panchkula,,Ready to Move,1 out of 3,Resale,Semi-Furnished,North,,DLF The Valley Garden,3,2,1 Open,Freehold,1780 sqft,,
104197,"2 BHK Ready to Occupy Flat for sale in Siddha Town Chinar Park, Rajarhat","Multistorey apartment is available for sale. It has covered area of 850 sq-ft, it is a good location property. Please contact for more details.",34 Lac ,4000.0,kolkata,780 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,,,Siddha Town,2,2,,,,,
95520,2 BHK Ready to Occupy Flat for sale Shyamnagar,"This beautiful 2 BHK Flat is available for sale in Shyamnagar, North 24 Parganas. Invest your valuable money in this flat that is for resale. This ready to move flat located in Shyamnagar is available for purchase at a fair price of INR 40 Lac. The flat is semi-furnished and is suitable for any family size.",25 Lac ,3676.0,kolkata,,Ready to Move,4 out of 4,Resale,Semi-Furnished,,,,1,,,,680 sqft,,
98628,4 BHK Ready to Occupy Flat for sale in Kshitij Dum Dum,"At Kshitij, you can compete on the court, relax with your friends and family in the community areas or read your favourite book under the gentle shade of a tree. It is all about creating a property that is geographically centered around your life and your dayto day needs. You will be spoilt for choice after all, you deserve to be at the very centre of attention. Co Promoted",1.36 Cr ,6904.0,kolkata,1349 sqft,Ready to Move,,Resale,Unfurnished,South,"Garden/Park, Main Road",Kshitij,3,1,1 Covered,Freehold,,,
161846,"3 BHK Ready to Occupy Flat for sale in ATS Green Paradiso Lagerstroemia Estate, Sector-Chi","Have a look at this immaculate 3 BHK flat for sale in Lagerstroemia Estate, Greater Noida. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Ats Green Paradiso. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Lagerstroemia Estate comes at an affordable price of INR 1.38 Cr. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. near by parichowk are some of the key nearby landmarks.",1.38 Cr ,6419.0,greater-noida,1850 sqft,Ready to Move,7 out of 9,Resale,Semi-Furnished,North - West,"Garden/Park, Pool, Main Road",ATS Green Paradiso,3,2,1 Covered,Leasehold,,,
1821,3 BHK Ready to Occupy Flat for sale in Raj Grandeur Powai,,4 Cr ,17857.0,mumbai,,Ready to Move,28 out of 31,Resale,Unfurnished,,,Raj Grandeur,3,,,,2240 sqft,,
163231,4 BHK Ready to Occupy Flat for sale Sector 27,"This gorgeous 4 BHK Flat is available for sale in Sector 27, Greater Noida. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Sector 27 is available for a reasonable price of INR 2.10 Cr. The possession date of the flat stands at Dec '22. The flat is semi-furnished and makes for an ideal choice for any family. The property is constructed with proximity to major landmarks like golf course, nearby metro, big schools vincity.",2.10 Cr ,9354.0,greater-noida,,Ready to Move,6 out of 7,Resale,Semi-Furnished,East,Garden/Park,,4,5,2 Covered,Leasehold,2245 sqft,,
9114,5 BHK Ready to Occupy Flat for sale in Adani Shantigram Waterlily Vaishnodevi Circle,"This gorgeous 5 BHK Flat is available for sale in Vaishnodevi Circle, Ahmedabad. This flat is placed in a marvellous location within the Adani Shantigram Waterlily complex. This flat for resale is just the type of property you have been searching for! Located in Vaishnodevi Circle, this ready to move apartment is sold at a fair selling price of INR 3.65 Cr. The flat is unfurnished and makes for an ideal choice for any family. Some nearby landmarks are nr vaishnodevi circle..",3.65 Cr ,,ahmedabad,4734 sqft,Ready to Move,16 out of 16,Resale,Unfurnished,East,,Adani Shantigram Waterlily,5,1,"2 Covered,",Freehold,,,
95997,2 BHK Ready to Occupy Flat for sale in DLF New Town Heights Rajarhat,"2 BHK, Multistorey Apartment is available for Sale in Rajarhat, Kolkata for 72.0 Lac(s)",72 Lac ,5728.0,kolkata,900 sqft,Ready to Move,2 out of 18,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",DLF New Town Heights,2,2,,,,,
117471,"2 BHK Ready to Occupy Flat for sale Shashi Garden, Mayur Vihar","This exquisite 2 BHK Flat is offered for sale in Shashi Garden, New Delhi. This is a desirable apartment for resale. You can buy this ready to move flat in Shashi Garden at a reasonable price of INR 80 Lac. This premium furnished flat spells quality and comfort at a competitive price.",80 Lac ,8649.0,new-delhi,,Ready to Move,1 out of 4,Resale,Furnished,,Main Road,,2,1,,,925 sqft,,
105539,"2 BHK Ready to Occupy Flat for sale Bablatala, Gopalpur Gram","2 BHK, Multistorey Apartment is available for Sale in Bablatala, Kolkata for 32.54 Lac(s)",32.5 Lac ,3200.0,kolkata,,Ready to Move,1 out of 7,Resale,Unfurnished,,Main Road,,2,,1 Covered,,1017 sqft,,
9760,2 BHK Ready to Occupy Flat for sale in Pooja Apartment Maninagar,"Have a look at this immaculate 2 BHK flat for sale in Maninagar, Ahmedabad. It enjoys an excellent location within the Pooja Apartment. This is one of the best properties available for resale. This apartment in one of the significant areas of Maninagar is ready to move, and can be purchased at the best price of INR 65 Lac. It is a unfurnished apartment.",65 Lac ,6878.0,ahmedabad,105 sqyrd,Ready to Move,3 out of 4,Resale,Unfurnished,East,Main Road,Pooja Apartment,2,2,,Freehold,,,
157356,2 BHK Ready to Occupy Flat for sale in Floridaa Sector 82,"This exquisite 2 BHK Flat is offered for sale in Sector 82, Faridabad. It is housed in the well-planned Floridaa township in an advantageous location. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat is offered at an economical price of INR 23 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. shiv nadar school are some major landmarks near the apartment.",23 Lac ,2875.0,faridabad,600 sqft,Ready to Move,12 out of 14,Resale,Unfurnished,East,Main Road,Floridaa,2,1,1 Covered,Freehold,,,
52282,3 BHK Ready to Occupy Flat for sale Sector 45,"Have a look at this immaculate 3 BHK flat for sale in Sector 45, Gurgaon. This flat is an attractive property for sale. The ready to move flat in Sector 45 is all ready for sale at a low-priced budget of INR 1.60 Cr. The spacious apartment is semi-furnished. Landmarks near the apartment include sector 45.",1.60 Cr ,8205.0,gurgaon,,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,,,3,3,2 Covered,Freehold,1950 sqft,,
13147,4 BHK Ready to Occupy Flat for sale in Swati Parkside Shela,"This exquisite 4 BHK Flat is offered for sale in Shela, Ahmedabad. Ideally situated in the Swati Parkside township it enjoys a prime location. Your hunt for the perfect apartment for sale comes to an end here. Located in Shela, this ready to move apartment is sold at a fair selling price of INR 1.18 Cr. Jan '23 is the date of possession of this apartment. The flat is available in unfurnished condition. shela ahmedabad are some of the key nearby landmarks.",1.18 Cr ,4500.0,ahmedabad,2623 sqft,Ready to Move,7 out of 13,New Property,Unfurnished,East,"Main Road, Garden/Park, Pool",Swati Parkside,4,1,2 Covered,Freehold,,,
183152,2 BHK Ready to Occupy Flat for sale Chharwada,"Chharwada, Vapi has an attractive 2 BHK Flat for sale. This flat for resale is just the type of property you have been searching for! This ready to move flat in Chharwada can be availed at a reasonable price of INR 16 Lac. This contemporary apartment is unfurnished.",16 Lac ,1778.0,vapi,,Ready to Move,2 out of 5,Resale,Unfurnished,,,,3,,,,900 sqft,,
111228,4 BHK Ready to Occupy Flat for sale in Kshitij Dum Dum,"At Kshitij, you can compete on the court, relax with your friends and family in the community areas or read your favourite book under the gentle shade of a tree. It is all about creating a property that is geographically centered around your life and your dayto day needs. You will be spoilt for choice after all, you deserve to be at the very centre of attention. Co Promoted",1.36 Cr ,6904.0,kolkata,1349 sqft,Ready to Move,,Resale,Unfurnished,South,"Garden/Park, Main Road",Kshitij,3,1,1 Covered,Freehold,,,
5187,"3 BHK Ready to Occupy Flat for sale in Gala Haven Jagatpur Village, Gota","Jagatpur Village, Ahmedabad has an appealing 3 BHK flat for sale with various amenities. Situated in the excellent Gala Haven township. The flat enjoys a prime location. This flat for resale has a desirable location. This apartment ready to move in the Jagatpur Village is available for an attractive price of INR 70 Lac. You will find it unfurnished. This 3 BHK flat boasts of being in close proximity to significant landmarks like vaishnodevi , nirma university that enhance the overall living experience.",70 Lac ,3784.0,ahmedabad,1202 sqft,Ready to Move,4 out of 12,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Gala Haven,3,1,"1 Covered,",Freehold,,,
98944,3 BHK Ready to Occupy Flat for sale in Rare Earth Narkeldanga,"As dusk falls, joy wakes anew at the Rare Earth. Lights spell out the spirit of positivity that pervades the hearts of the homeward bound. The rigours of the day wash away in the merry confines of the club within the complex. Spirited conversations, cheerful bonhomie and unabashed joy characterise evenings that recharge the souls of the residents of this magical abode.",1.92 Cr ,10614.0,kolkata,,Ready to Move,4 out of 35,New Property,Unfurnished,West,Garden/Park,Rare Earth,3,1,1 Covered,Freehold,1809 sqft,,
